company;E1-1;E1-2;E1-3;E1-4;E1-5;E1-6;E1-7;E1-8;E1-9;E2-1;E2-2;E2-3;E2-4;E2-5;E3-1;E3-2;E3-3;E3-4;E3-5;E4-1;E4-2;E4-3;E4-4;E4-5;E4-6;E5-1;E5-2;E5-3;E5-4;E5-5;E5-6;S1-1;S1-2;S1-3;S1-4;S1-5;S1-6;S1-7;S1-8;S1-9;S1-10;S1-11;S1-12;S1-13;S1-14;S1-15;S1-16;S1-17;S2-1;S2-2;S2-3;S2-4;S2-5;S3-1;S3-2;S3-3;S3-4;S3-5;S4-1;S4-2;S4-3;S4-4;S4-5;G1-1;G1-2;G1-3;G1-4;G1-5;G1-6;total_assets;total_debt;current_assets;current_liabilities;net_income;revenue;shares_out;close_price;mkt_cap;ln_assets;roa;leverage;current_ratio;ln_mcap;industry;sector;country
asm;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;5161920000.0;11672000.0;2415324000.0;1200232000.0;685734000.0;2932724000.0;49024700;596.999.267.578.125;29.267.709.993.237.300;22.364.574.440.253.600;0.1328447554398363;0.0022611741367553;2.012.380.939.684.990;24.099.750.697.255.600;Semiconductor Equipment & Materials;Information Technology;Netherlands
abinbev;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;206637000000.0;72170000000.0;22999000000.0;33066000000.0;5855000000.0;59768000000.0;1716390016;467.251.205.444.336;801.985.303.988.623;2.605.422.946.762.620;0.0283347125635776;0.3492598131022034;0.6955482973447046;2.510.777.102.744.720;Beverages - Brewers;Consumer Staples;Belgium
amplifon;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1;1;0;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;0;3992762000.0;1721518000.0;725228000.0;1170308000.0;145374000.0;2409241000.0;223880992;2.533.114.242.553.710;5.671.161.294.722.530;2.210.774.905.894.350;0.036409382778137;0.4311596834471977;0.6196898594216224;22.458.659.747.598.600;Medical Distribution;Health Care;Italy
air liquide;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;51867500000.0;12448100000.0;8347400000.0;9484100000.0;3306100000.0;27057800000.0;576670016;15.538.319.396.972.600;8.960.482.895.265.330;2.467.195.822.673.150;0.0637412637971755;0.2399980720104111;0.880146771965711;252.186.750.500.359;Specialty Chemicals;Materials;France
aroundtown;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;33619900000.0;14703500000.0;5599700000.0;2948300000.0;256300000.0;1180900000.0;1093670016;2.747.999.906.539.910;3.005.405.101.753.500;2.423.838.399.050.240;0.0076234611048813;0.437345143798762;18.992.979.004.850.200;2.182.367.820.508.340;Real Estate Services;Real Estate;Luxembourg
bank pekao;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;334242000000.0;25038000000.0;;;6376000000.0;16164000000.0;262470000;12.675.753.021.240.200;33.270.048.954.849.200;26.535.131.118.461.000;0.019075998827197;0.0749097958963864;23.425.346.565.464.500;2.422.792.339.841.690;Banks - Regional;Financials;Poland
cez group;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;901974000000.0;246149000000.0;238837000000.0;186992000000.0;29933000000.0;340096000000.0;536809984;987.0;529831454208.0;2.752.785.153.175.980;0.0331861007080026;0.272900327503897;12.772.578.506.032.300;2.699.582.478.198.800;Utilities - Regulated Electric;Utilities;Czech Republic
austrian post;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;6491900000.0;745300000.0;3596000000.0;4836500000.0;137900000.0;3123100000.0;67552600;2.709.552.001.953.120;18.303.728.256.713.800;2.259.382.108.290.640;0.0212418552349851;0.1148046026586977;0.7435128708777008;21.327.785.512.924.700;Integrated Freight & Logistics;Industrials;Austria
wacker;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;9409900000.0;1925200000.0;4055300000.0;1522800000.0;241000000.0;5721800000.0;51762600;689.181.137.084.961;35.673.807.526.474;22.965.028.163.494.600;0.0256113242436157;0.2045930349950584;2.663.054.898.870.500;2.199.509.748.072.920;Specialty Chemicals;Materials;Germany
axa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;653762000000.0;62140000000.0;;;7886000000.0;89823000000.0;2175830016;3.270.023.727.416.990;7.115.015.779.146.090;27.206.009.207.797.600;0.0120624936903643;0.0950498805375656;1.553.455.345;24.988.058.379.209.400;Insurance - Diversified;Financials;France
wartsila;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;0;0;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7694000000.0;766000000.0;5110000000.0;4121000000.0;503000000.0;6449000000.0;588436992;17.156.570.434.570.300;10.095.560.699.554.600;2.276.370.664.127.650;0.0653756173641798;0.0995580972186119;12.399.902.936.180.500;2.303.536.162.947.230;Specialty Industrial Machinery;Industrials;Finland
vinci-2024-universal-registration-document;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;129491000000.0;36261000000.0;46931000000.0;55033000000.0;4863000000.0;72768000000.0;561120000;9.687.017.822.265.620;5.435.579.440.429.680;255.868.772.176.014;0.0375547335336046;0.2800271833563723;0.8527792415459815;2.471.881.705.760.540;Engineering & Construction;Industrials;France
vestas annual report 2024;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;24644000000.0;3271000000.0;16089000000.0;15480000000.0;499000000.0;17295000000.0;1007600000;10.390.201.568.603.500;10.469.167.100.524.900;23.927.799.300.098.700;0.0202483363090407;0.1327300762863171;1.039.341.085.271.310;25.374.285.400.610.300;Specialty Industrial Machinery;Industrials;Denmark
air france;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;36155000000.0;14527000000.0;10585000000.0;16271000000.0;317000000.0;31459000000.0;262658000;7.671.999.931.335.440;20.151.121.579.647.000;24.311.081.088.573.300;0.0087678052828101;0.4017978149633522;0.6505439124823306;2.142.394.069.231.690;Airlines;Industrials;France
accor_urd;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;12057000000.0;3739000000.0;2971000000.0;2818000000.0;610000000.0;5606000000.0;239756000;453.245.849.609.375;10.866.841.191.894.500;23.212.911.241.081.500;0.0505930165049348;0.310110309363855;1.054.293.825.408.090;23.108.981.897.125.700;Lodging;Consumer Discretionary;France
banco commercial;1;1;1;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;102143602000.0;6183546000.0;;;906378000.0;3726865000.0;14952599552;0.4722000062465668;7.060.617.601.856.810;25.349.645.522.866.200;0.0088735660604567;0.0605377711273585;1.456.456.554.353.450;2.267.779.836.364.200;Banks - Regional;Financials;Portugal
orsted annual report 2024;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;0;298786000000.0;96618000000.0;79639000000.0;53752000000.0;-206000000.0;58833000000.0;420235008;3.416.000.061.035.150;14.355.228.129.771.000;26.422.993.435.024.300;-0.0006894566679831;0.3233685647921924;14.816.006.846.256.800;25.689.965.135.394.900;Utilities - Renewable;Utilities;Denmark
atria;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;984794000.0;281691000.0;259591000.0;245461000.0;39654000.0;1755368000.0;19000000;10.528.433.799.743.600;2.000.402.421.951.290;2.070.794.304.020.830;0.0402662891934759;0.2860405323346812;10.575.651.529.163.400;19.114.029.115.247.700;Packaged Foods;Consumer Staples;Finland
alk;0;1;1;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;8246000000.0;1187000000.0;3294000000.0;1949000000.0;815000000.0;5537000000.0;201144000;155.0;31177320000.0;2.283.299.407.123.110;0.0988357991753577;0.1439485811302449;16.900.974.858.902;2.416.295.674.434.820;Biotechnology;Health Care;Denmark
akso;1;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;0;1;1;0;0;0;0;0;1;1;1;1;1;1;36203000000.0;3345000000.0;17922000000.0;21192000000.0;2656000000.0;52410000000.0;481990016;3.011.794.662.475.580;14.516.549.575.553.200;2.431.240.782.527.250;0.073364085849239;0.0923956578184128;0.8456964892412231;2.339.855.518.556.630;Oil & Gas Equipment & Services;Energy;Norway
allegro;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;1;19517291000.0;6361902000.0;5252693000.0;2610444000.0;1034561000.0;10821231000.0;1053299968;2.770.499.992.370.600;2.918.167.553.307.950;23.694.566.627.562.700;0.0530074076366438;0.3259623479508503;20.121.837.511.166.600;24.096.806.798.991.500;Internet Retail;Consumer Discretionary;Luxembourg
axfood;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;35432000000.0;15296000000.0;8805000000.0;13166000000.0;2192000000.0;84057000000.0;215744992;2.316.264.190.673.820;4.997.223.992.868.110;2.429.088.120.356.730;0.0618649808083088;0.431700158049221;0.6687680388880449;246.347.334.867.668;Grocery Stores;Consumer Staples;Sweden
santander;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1837081000000.0;327723000000.0;;;12574000000.0;63842000000.0;14866199552;447.341.251.373.291;6.650.264.310.756.730;2.823.919.901.482.030;0.006844553941824;0.1783933315950684;1.445.346.546.546;24.920.507.529.796.800;Banks - Diversified;Financials;Spain
addiko bank;1;0;0;1;1;1;1;0;1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;6408900000.0;15200000.0;;;45400000.0;321300000.0;19287100;1.889.999.961.853.020;3.645.261.826.425.550;2.258.095.348.628.850;0.0070838989530184;0.0023717018521119;143.535.445.435.345;1.971.410.893.850.000;Banks - Regional;Financials;Austria
alm brand;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;35435000000.0;2252000000.0;;;777000000.0;14136000000.0;1433830016;13.499.979.972.839.300;19.356.676.500.455.900;2.429.096.586.920.860;0.0219274728375899;0.0635529843375194;145.464.634.545.534;23.686.303.235.693.200;Insurance - Diversified;Financials;Denmark
amag;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1750590000.0;;996928000.0;420293000.0;43199000.0;1448800000.0;35264000;2.303.840.065.002.440;8.124.261.605.224.600;2.128.321.871.091.900;0.0246768232424496;0.2176645654645;2.371.983.354.469.380;20.515.535.588.681.400;Aluminum;Materials;Austria
vonovia-se_annual-report-2024;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;90236300000.0;43205300000.0;7909400000.0;7464800000.0;-896000000.0;5939100000.0;822852992;27.679.283.142.089.800;2.277.598.094.988.370;2.522.569.762.208.250;-0.0099294851406806;0.4788017682462601;1.059.559.532.740.320;2.384.897.235.050.990;Real Estate Services;Real Estate;Germany
argenx;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;6202522000.0;39053000.0;4883103000.0;669916000.0;833040000.0;2190231000.0;61059600;6.095.999.755.859.370;3.722.193.066.928.710;2.254.822.182.048.080;0.1343066578401495;0.0062963097914042;7.289.127.293.571.130;2.434.016.395.863.910;Biotechnology;Health Care;Netherlands
assa abloy;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;223605000000.0;73501000000.0;55747000000.0;50469000000.0;15639000000.0;150162000000.0;1053249984;3.234.960.021.972.650;340.722.159.138.334;2.613.314.693.933.690;0.0699402965049976;0.3287091075780953;1.104.579.048.524.830;26.554.333.199.528.600;Security & Protection Services;Industrials;Sweden
amg;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;0;0;2039589000.0;814623000.0;872636000.0;516084000.0;-33351000.0;1439856000.0;32269100;1.440.007.781.982.420;4.646.775.511.756.890;2.143.601.415.391.630;-0.0163518238233291;0.3994054684546739;16.908.797.792.607.400;1.995.685.428.468.020;Other Industrial Metals & Mining;Materials;Netherlands
aib group;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;141266000000.0;11547000000.0;;;2354000000.0;4915000000.0;2136770048;5.053.509.712.219.230;10.798.188.190.347.100;256.739.104.748.942;0.0166635991675279;0.0817394135885492;15.546.546.546;23.102.644.196.850.200;Banks - Regional;Financials;Ireland
2024-wienerberger-annual-report;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;6418432000.0;;2195764000.0;1559077000.0;79756000.0;4512665000.0;109498000;25.823.894.500.732.400;28.276.648.000.411.900;225.824.396.880.575;0.0124260878669432;0.214654645645654;14.083.743.137.766.700;2.176.271.704.897.440;Building Materials;Materials;Austria
aegon;1;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;1;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;1;0;0;327390000000.0;4995000000.0;;;688000000.0;19519000000.0;1583859968;5.872.000.217.437.740;9.300.426.076.486.930;2.651.441.795.773.950;0.0021014691957604;0.0152570328965454;144.354.654;22.953.326.050.732.100;Insurance - Diversified;Financials;Netherlands
bank of ireland;1;1;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;161813000000.0;12471000000.0;;;1531000000.0;4462000000.0;968070016;86.065.092.086.792;833.170.350.735.022;2.580.970.718.444.950;0.009461538936921;0.0770704455142664;144.566.546.545.435;2.284.333.377.490.040;Banks - Regional;Financials;Ireland
annual report 2024_zalando se_en_250503_s;1;1;1;1;1;1;1;1;0;1;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;7983900000.0;1725500000.0;5451700000.0;3990100000.0;251100000.0;10572500000.0;259199008;32.220.001.220.703.100;8.351.392.354.165.030;2.280.069.285.082.700;0.0314507947243828;0.2161224464234271;1.366.306.608.856.920;22.845.694.110.909.900;Internet Retail;Consumer Discretionary;Germany
arcadis;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;3904000000.0;1116000000.0;1918000000.0;1569000000.0;243000000.0;4995000000.0;89411296;5.800.127.029.418.940;518.596.874.664.978;22.085.267.505.497.200;0.0622438524590164;0.2858606557377049;12.224.346.717.654.500;2.236.922.249.755.990;Engineering & Construction;Industrials;Netherlands
allianz group;1;1;1;1;1;1;0;0;0;1;1;1;0;0;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1044578000000.0;23117000000.0;;;9931000000.0;119527000000.0;385551008;2.866.353.454.589.840;11.051.254.637.013.900;2.767.463.409.203.370;0.0095071885488685;0.0221304679976028;14.435.646.546;25.428.394.893.270.000;Insurance - Diversified;Financials;Germany
