company;E1-1;E1-2;E1-3;E1-4;E1-5;E1-6;E1-7;E1-8;E1-9;E2-1;E2-2;E2-3;E2-4;E2-5;E3-1;E3-2;E3-3;E3-4;E3-5;E4-1;E4-2;E4-3;E4-4;E4-5;E4-6;E5-1;E5-2;E5-3;E5-4;E5-5;E5-6;S1-1;S1-2;S1-3;S1-4;S1-5;S1-6;S1-7;S1-8;S1-9;S1-10;S1-11;S1-12;S1-13;S1-14;S1-15;S1-16;S1-17;S2-1;S2-2;S2-3;S2-4;S2-5;S3-1;S3-2;S3-3;S3-4;S3-5;S4-1;S4-2;S4-3;S4-4;S4-5;G1-1;G1-2;G1-3;G1-4;G1-5;G1-6;total_assets;total_debt;current_assets;current_liabilities;net_income;revenue;shares_out;close_price;mkt_cap;ln_assets;roa;leverage;current_ratio;ln_mcap;industry;sector;country
banca generali s.p.a;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;16821985000.0;449296000.0;;;431225000.0;1137309000.0;113949000;434.317.626.953.125;4.949.005.927.368.160;23.545.952.498.796.800;0.0256346085197436;0.0267088574862003;1.495.943.378.435.340;2.232.245.257.060.550;Banks - Regional;Financials;Italy
aalberts annual report;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4230000000.0;686600000.0;1387900000.0;1007200000.0;179100000.0;3148600000.0;108740000;3.340.211.868.286.130;3.632.146.385.574.340;221.654.678.300.046;0.0423404255319148;0.1623167848699763;13.779.785.544.082.600;2.201.308.960.127.140;Specialty Industrial Machinery;Industrials;Netherlands
altri;1;1;1;1;1;1;0;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;0;0;1;1322395943.0;583417019.0;527973447.0;340827300.0;107204025.0;837898381.0;205132000;5.215.580.940.246.580;1.069.882.549.434.660;21.002.711.036.559.500;0.08106802321005;0.4411817973945493;15.490.937.697.772.400;20.790.814.712.511.900;Paper & Paper Products;Materials;Portugal
ariston;1;1;1;1;1;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;0;0;0;1;1;0;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;0;1;1;0;0;3566500000.0;901400000.0;1276500000.0;950400000.0;2500000.0;2680200000.0;121089000;3.651.999.950.408.930;4.422.170.219.950.670;2.199.485.055.968.230;0.0007009673349221;0.2527407822795458;13.431.186.868.686.800;1.990.731.131.952.970;Building Products & Equipment;Industrials;Italy
wordline_urd_2024;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;0;19424500000.0;4030300000.0;7189000000.0;6820300000.0;-297000000.0;4631900000.0;282063008;8.284.000.396.728.510;23.366.100.701.744.300;23.689.800.992.843.100;-0.0152899688537671;0.2074853921593863;10.540.592.056.067.900;21.571.967.027.993.400;Software - Infrastructure;Information Technology;France
aktia;1;1;1;1;1;1;1;0;1;1;1;0;1;0;1;0;0;1;0;1;1;1;0;0;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;1;0;0;1;0;0;11904257000.0;4155311000.0;;;75896000.0;308635000.0;73214600;8.745.545.387.268.060;6.403.016.073.106.760;2.320.016.190.418.580;0.0063755343991649;0.3490609283720941;1.543.848.333;2.027.744.988.473.210;Banks - Regional;Financials;Finland
asml;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;48589600000.0;4687600000.0;30737400000.0;20051400000.0;7571600000.0;28262900000.0;393200000;7.438.627.319.335.930;29.248.682.619.628.900;24.606.675.353.183.800;0.1558275845036798;0.0964733193934504;1.532.930.368.951.790;26.401.685.463.958.800;Semiconductor Equipment & Materials;Information Technology;Netherlands
airbus;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;1;1;0;1;1;0;0;0;0;1;0;0;0;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;129213000000.0;11275000000.0;69432000000.0;60623000000.0;4232000000.0;69230000000.0;787329984;1.584.701.385.498.040;12.476.829.164.889.500;2.558.472.804.242.810;0.0327521224644579;0.0872590219250385;11.453.078.864.457.300;25.549.724.187.273.400;Aerospace & Defense;Industrials;Netherlands
amundi;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;0;1;38302388000.0;2357012000.0;6020164000.0;23332192000.0;1305122000.0;6192802000.0;203458000;602.448.844.909.668;12.257.303.708.763.100;24.368.778.081.058.700;0.0340741679082776;0.0615369464692384;0.2580196494182801;2.322.938.781.739.140;Asset Management;Financials;France
aena;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;16975364000.0;4045595000.0;2803246000.0;2234385000.0;1934224000.0;5763531000.0;150000000;19.181.005.859.375;287.715.087.890.625;2.355.502.895.346.020;0.1139430058760448;0.238321546448135;1.254.593.993.425.480;2.408.265.145.627.210;Airports & Air Services;Industrials;Spain
