company,E1-1,E1-2,E1-3,E1-4,E1-5,E1-6,E1-7,E1-8,E1-9,E2-1,E2-2,E2-3,E2-4,E2-5,E3-1,E3-2,E3-3,E3-4,E3-5,E4-1,E4-2,E4-3,E4-4,E4-5,E4-6,E5-1,E5-2,E5-3,E5-4,E5-5,E5-6,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,S1-12,S1-13,S1-14,S1-15,S1-16,S1-17,S2-1,S2-2,S2-3,S2-4,S2-5,S3-1,S3-2,S3-3,S3-4,S3-5,S4-1,S4-2,S4-3,S4-4,S4-5,G1-1,G1-2,G1-3,G1-4,G1-5,G1-6,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap,industry,country,sector
alfen,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,362750000.0,49749000.0,251461000.0,150094000.0,-27014000.0,487643000.0,21738800,13.479999542236328,293039014.0487671,19.70922444972857,-0.0744700206753962,0.137144038594073,1.67535677642011,19.495816311867227,Electrical Equipment & Parts,Netherlands,Industrials
aeroports,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,20179000000.0,10142000000.0,3787000000.0,4002000000.0,342000000.0,6158000000.0,98751696,108.6483383178711,10729207676.471558,23.72790829663016,0.0169483126022102,0.5026017146538481,0.9462768615692154,23.09623554896803,Airports & Air Services,France,Industrials
amadeus it group,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,11784300000.0,3375700000.0,2593900000.0,3036000000.0,1253000000.0,6141700000.0,436348000,67.67285919189453,29528916762.664795,23.19003397403116,0.1063279108644552,0.2864574051916533,0.8543807641633728,24.108635849424097,Information Technology Services,Spain,Information Technology
asm,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,5161920000.0,11672000.0,2415324000.0,1200232000.0,685734000.0,2932724000.0,49024700,596.999267578125,29267709993.237305,22.364574440253698,0.1328447554398363,0.0022611741367553,2.012380939684994,24.099750697255622,Semiconductor Equipment & Materials,Netherlands,Information Technology
abinbev,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,206637000000.0,72170000000.0,22999000000.0,33066000000.0,5855000000.0,59768000000.0,1716390016,46.7251205444336,80198530398.8623,26.05422946762629,0.0283347125635776,0.3492598131022034,0.6955482973447046,25.10777102744728,Beverages - Brewers,Belgium,Consumer Staples
amplifon,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,0,3992762000.0,1721518000.0,725228000.0,1170308000.0,145374000.0,2409241000.0,223880992,25.33114242553711,5671161294.722534,22.10774905894355,0.036409382778137,0.4311596834471977,0.6196898594216224,22.458659747598617,Medical Distribution,Italy,Health Care
air liquide,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,51867500000.0,12448100000.0,8347400000.0,9484100000.0,3306100000.0,27057800000.0,576670016,155.38319396972656,89604828952.65332,24.67195822673157,0.0637412637971755,0.2399980720104111,0.880146771965711,25.2186750500359,Specialty Chemicals,France,Materials
aroundtown,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,33619900000.0,14703500000.0,5599700000.0,2948300000.0,256300000.0,1180900000.0,1093670016,2.747999906539917,3005405101.753509,24.23838399050247,0.0076234611048813,0.437345143798762,1.8992979004850248,21.82367820508341,Real Estate Services,Luxembourg,Real Estate
bank pekao,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,334242000000.0,25038000000.0,,,6376000000.0,16164000000.0,262470000,126.75753021240234,33270048954.849243,26.535131118461035,0.019075998827197,0.0749097958963864,1.463493546886327,24.22792339841693,Banks - Regional,Poland,Financials
cez group,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,901974000000.0,246149000000.0,238837000000.0,186992000000.0,29933000000.0,340096000000.0,536809984,987.0,529831454208.0,27.52785153175989,0.0331861007080026,0.272900327503897,1.2772578506032344,26.99582478198808,Utilities - Regulated Electric,Czech Republic,Utilities
austrian post,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,6491900000.0,745300000.0,3596000000.0,4836500000.0,137900000.0,3123100000.0,67552600,27.09552001953125,1830372825.6713867,22.59382108290649,0.0212418552349851,0.1148046026586977,0.7435128708777008,21.327785512924702,Integrated Freight & Logistics,Austria,Industrials
wacker,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,9409900000.0,1925200000.0,4055300000.0,1522800000.0,241000000.0,5721800000.0,51762600,68.9181137084961,3567380752.6474,22.965028163494672,0.0256113242436157,0.2045930349950584,2.663054898870502,21.99509748072925,Specialty Chemicals,Germany,Materials
axa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,653762000000.0,62140000000.0,,,7886000000.0,89823000000.0,2175830016,32.70023727416992,71150157791.46094,27.206009207797617,0.0120624936903643,0.0950498805375656,1.463493546886327,24.988058379209413,Insurance - Diversified,France,Financials
wartsila,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7694000000.0,766000000.0,5110000000.0,4121000000.0,503000000.0,6449000000.0,588436992,17.156570434570312,10095560699.554688,22.76370664127652,0.0653756173641798,0.0995580972186119,1.2399902936180538,23.03536162947238,Specialty Industrial Machinery,Finland,Industrials
vinci-2024-universal-registration-document,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,129491000000.0,36261000000.0,46931000000.0,55033000000.0,4863000000.0,72768000000.0,561120000,96.87017822265624,54355794404.29688,25.5868772176014,0.0375547335336046,0.2800271833563723,0.8527792415459815,24.71881705760544,Engineering & Construction,France,Industrials
vestas annual report 2024,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,24644000000.0,3271000000.0,16089000000.0,15480000000.0,499000000.0,17295000000.0,1007600000,103.90201568603516,104691671005.24902,23.927799300098734,0.0202483363090407,0.1327300762863171,1.039341085271318,25.374285400610308,Specialty Industrial Machinery,Denmark,Industrials
air france,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,36155000000.0,14527000000.0,10585000000.0,16271000000.0,317000000.0,31459000000.0,262658000,7.671999931335449,2015112157.9647064,24.311081088573328,0.0087678052828101,0.4017978149633522,0.6505439124823306,21.42394069231696,Airlines,France,Industrials
accor_urd,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,12057000000.0,3739000000.0,2971000000.0,2818000000.0,610000000.0,5606000000.0,239756000,45.3245849609375,10866841191.894531,23.212911241081585,0.0505930165049348,0.310110309363855,1.054293825408091,23.108981897125783,Lodging,France,Consumer Discretionary
banco commercial,1,1,1,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,102143602000.0,6183546000.0,,,906378000.0,3726865000.0,14952599552,0.4722000062465668,7060617601.856812,25.349645522866208,0.0088735660604567,0.0605377711273585,1.463493546886327,22.67779836364204,Banks - Regional,Portugal,Financials
orsted annual report 2024,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,298786000000.0,96618000000.0,79639000000.0,53752000000.0,-206000000.0,58833000000.0,420235008,341.6000061035156,143552281297.71094,26.422993435024388,-0.0006894566679831,0.3233685647921924,1.4816006846256884,25.689965135394942,Utilities - Renewable,Denmark,Utilities
atria,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,984794000.0,281691000.0,259591000.0,245461000.0,39654000.0,1755368000.0,19000000,10.528433799743652,200040242.1951294,20.70794304020832,0.0402662891934759,0.2860405323346812,1.0575651529163492,19.114029115247742,Packaged Foods,Finland,Consumer Staples
alk,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,8246000000.0,1187000000.0,3294000000.0,1949000000.0,815000000.0,5537000000.0,201144000,155.0,31177320000.0,22.83299407123112,0.0988357991753577,0.1439485811302449,1.6900974858902,24.16295674434824,Biotechnology,Denmark,Health Care
akso,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,1,36203000000.0,3345000000.0,17922000000.0,21192000000.0,2656000000.0,52410000000.0,481990016,30.11794662475586,14516549575.553225,24.31240782527254,0.073364085849239,0.0923956578184128,0.8456964892412231,23.39855518556632,Oil & Gas Equipment & Services,Norway,Energy
allegro,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,19517291000.0,6361902000.0,5252693000.0,2610444000.0,1034561000.0,10821231000.0,1053299968,27.70499992370605,29181675533.07959,23.694566627562715,0.0530074076366438,0.3259623479508503,2.0121837511166683,24.096806798991576,Internet Retail,Luxembourg,Consumer Discretionary
axfood,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,35432000000.0,15296000000.0,8805000000.0,13166000000.0,2192000000.0,84057000000.0,215744992,231.6264190673828,49972239928.68115,24.29088120356731,0.0618649808083088,0.431700158049221,0.6687680388880449,24.6347334867668,Grocery Stores,Sweden,Consumer Staples
santander,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1837081000000.0,327723000000.0,,,12574000000.0,63842000000.0,14866199552,4.47341251373291,66502643107.56738,28.23919901482036,0.006844553941824,0.1783933315950684,1.463493546886327,24.920507529796826,Banks - Diversified,Spain,Financials
addiko bank,1,0,0,1,1,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,6408900000.0,15200000.0,,,45400000.0,321300000.0,19287100,18.89999961853028,364526182.6425552,22.58095348628857,0.0070838989530184,0.0023717018521119,1.463493546886327,19.71410893850004,Banks - Regional,Austria,Financials
alm brand,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,35435000000.0,2252000000.0,,,777000000.0,14136000000.0,1433830016,13.499979972839355,19356676500.455933,24.29096586920863,0.0219274728375899,0.0635529843375194,1.463493546886327,23.686303235693263,Insurance - Diversified,Denmark,Financials
amag,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1750590000.0,,996928000.0,420293000.0,43199000.0,1448800000.0,35264000,23.03840065002441,812426160.5224609,21.28321871091909,0.0246768232424496,0.2172558891542051,2.371983354469382,20.515535588681416,Aluminum,Austria,Materials
vonovia-se_annual-report-2024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90236300000.0,43205300000.0,7909400000.0,7464800000.0,-896000000.0,5939100000.0,822852992,27.679283142089844,22775980949.88379,25.22569762208252,-0.0099294851406806,0.4788017682462601,1.059559532740328,23.84897235050995,Real Estate Services,Germany,Real Estate
argenx,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,6202522000.0,39053000.0,4883103000.0,669916000.0,833040000.0,2190231000.0,61059600,609.5999755859375,37221930669.28711,22.54822182048081,0.1343066578401495,0.0062963097914042,7.289127293571134,24.34016395863916,Biotechnology,Netherlands,Health Care
assa abloy,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,223605000000.0,73501000000.0,55747000000.0,50469000000.0,15639000000.0,150162000000.0,1053249984,323.4960021972656,340722159138.334,26.13314693933692,0.0699402965049976,0.3287091075780953,1.104579048524837,26.554333199528653,Security & Protection Services,Sweden,Industrials
amg,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,0,2039589000.0,814623000.0,872636000.0,516084000.0,-33351000.0,1439856000.0,32269100,14.40007781982422,464677551.1756897,21.43601415391637,-0.0163518238233291,0.3994054684546739,1.6908797792607404,19.95685428468021,Other Industrial Metals & Mining,Netherlands,Materials
aib group,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,141266000000.0,11547000000.0,,,2354000000.0,4915000000.0,2136770048,5.053509712219238,10798188190.347168,25.6739104748942,0.0166635991675279,0.0817394135885492,1.463493546886327,23.102644196850235,Banks - Regional,Ireland,Financials
2024-wienerberger-annual-report,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,6418432000.0,,2195764000.0,1559077000.0,79756000.0,4512665000.0,109498000,25.823894500732425,2827664800.0411987,22.5824396880575,0.0124260878669432,0.2172558891542051,1.4083743137766769,21.76271704897444,Building Materials,Austria,Materials
aegon,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,0,0,327390000000.0,4995000000.0,,,688000000.0,19519000000.0,1583859968,5.872000217437744,9300426076.486938,26.51441795773952,0.0021014691957604,0.0152570328965454,1.463493546886327,22.953326050732176,Insurance - Diversified,Netherlands,Financials
bank of ireland,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,161813000000.0,12471000000.0,,,1531000000.0,4462000000.0,968070016,8.6065092086792,8331703507.35022,25.80970718444953,0.009461538936921,0.0770704455142664,1.463493546886327,22.84333377490044,Banks - Regional,Ireland,Financials
annual report 2024_zalando se_en_250503_s,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,7983900000.0,1725500000.0,5451700000.0,3990100000.0,251100000.0,10572500000.0,259199008,32.220001220703125,8351392354.165039,22.80069285082704,0.0314507947243828,0.2161224464234271,1.366306608856921,22.845694110909907,Internet Retail,Germany,Consumer Discretionary
arcadis,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3904000000.0,1116000000.0,1918000000.0,1569000000.0,243000000.0,4995000000.0,89411296,58.00127029418945,5185968746.64978,22.085267505497256,0.0622438524590164,0.2858606557377049,1.2224346717654555,22.36922249755992,Engineering & Construction,Netherlands,Industrials
allianz group,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1044578000000.0,23117000000.0,,,9931000000.0,119527000000.0,385551008,286.6353454589844,110512546370.13963,27.67463409203374,0.0095071885488685,0.0221304679976028,1.463493546886327,25.428394893270053,Insurance - Diversified,Germany,Financials
