company,E1-1,E1-2,E1-3,E1-4,E1-5,E1-6,E1-7,E1-8,E1-9,E2-1,E2-2,E2-3,E2-4,E2-5,E3-1,E3-2,E3-3,E3-4,E3-5,E4-1,E4-2,E4-3,E4-4,E4-5,E4-6,E5-1,E5-2,E5-3,E5-4,E5-5,E5-6,S1-1,S1-2,S1-3,S1-4,S1-5,S1-6,S1-7,S1-8,S1-9,S1-10,S1-11,S1-12,S1-13,S1-14,S1-15,S1-16,S1-17,S2-1,S2-2,S2-3,S2-4,S2-5,S3-1,S3-2,S3-3,S3-4,S3-5,S4-1,S4-2,S4-3,S4-4,S4-5,G1-1,G1-2,G1-3,G1-4,G1-5,G1-6,total_assets,total_debt,current_assets,current_liabilities,net_income,revenue,shares_out,close_price,mkt_cap,ln_assets,roa,leverage,current_ratio,ln_mcap,industry,country,sector
banca generali s.p.a,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,16821985000.0,449296000.0,,,431225000.0,1137309000.0,113949000,43.4317626953125,4949005927.368164,23.545952498796805,0.0256346085197436,0.0267088574862003,1.463493546886327,22.32245257060552,Banks - Regional,Italy,Financials
aalberts annual report,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4230000000.0,686600000.0,1387900000.0,1007200000.0,179100000.0,3148600000.0,108740000,33.40211868286133,3632146385.574341,22.1654678300046,0.0423404255319148,0.1623167848699763,1.3779785544082606,22.01308960127148,Specialty Industrial Machinery,Netherlands,Industrials
altri,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1322395943.0,583417019.0,527973447.0,340827300.0,107204025.0,837898381.0,205132000,5.215580940246582,1069882549.434662,21.002711036559543,0.08106802321005,0.4411817973945493,1.5490937697772449,20.790814712511903,Paper & Paper Products,Portugal,Materials
ariston,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,3566500000.0,901400000.0,1276500000.0,950400000.0,2500000.0,2680200000.0,121089000,3.651999950408936,442217021.9950676,21.99485055968237,0.0007009673349221,0.2527407822795458,1.3431186868686869,19.90731131952976,Building Products & Equipment,Italy,Industrials
wordline_urd_2024,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,19424500000.0,4030300000.0,7189000000.0,6820300000.0,-297000000.0,4631900000.0,282063008,8.284000396728516,2336610070.1744385,23.689800992843104,-0.0152899688537671,0.2074853921593863,1.0540592056067914,21.571967027993423,Software - Infrastructure,France,Information Technology
aktia,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,11904257000.0,4155311000.0,,,75896000.0,308635000.0,73214600,8.745545387268066,640301607.3106766,23.20016190418582,0.0063755343991649,0.3490609283720941,1.463493546886327,20.27744988473213,Banks - Regional,Finland,Financials
asml,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,48589600000.0,4687600000.0,30737400000.0,20051400000.0,7571600000.0,28262900000.0,393200000,743.8627319335938,292486826196.28906,24.606675353183807,0.1558275845036798,0.0964733193934504,1.532930368951794,26.401685463958888,Semiconductor Equipment & Materials,Netherlands,Information Technology
airbus,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,129213000000.0,11275000000.0,69432000000.0,60623000000.0,4232000000.0,69230000000.0,787329984,158.4701385498047,124768291648.89552,25.58472804242819,0.0327521224644579,0.0872590219250385,1.1453078864457384,25.549724187273483,Aerospace & Defense,Netherlands,Industrials
amundi,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,0,1,38302388000.0,2357012000.0,6020164000.0,23332192000.0,1305122000.0,6192802000.0,203458000,60.2448844909668,12257303708.763124,24.368778081058792,0.0340741679082776,0.0615369464692384,0.2580196494182801,23.22938781739147,Asset Management,France,Financials
aena,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,16975364000.0,4045595000.0,2803246000.0,2234385000.0,1934224000.0,5763531000.0,150000000,191.81005859375,28771508789.0625,23.55502895346024,0.1139430058760448,0.238321546448135,1.254593993425484,24.08265145627216,Airports & Air Services,Spain,Industrials
