company,ln_assets,roa,leverage,current_ratio,ln_mcap
verbund-integrated-annual-report-2024-englisch-final-1,23.65276807956642,0.1001840390407019,0.12279419868598188,1.4084748438310444,23.182615563495467
amsterdam commodity,20.581534055711977,0.05212167023485517,0.29391234009407113,2.0216350164043817,20.02748624830945
arkema,23.445153194836642,0.023275692024459203,0.2994279702807548,2.009251810136766,22.361183813103434
basf,25.110466562894022,0.016141267176521795,0.2983896039296151,1.832971418510476,24.30150424086859
20250407_viv_vivendi_urd_en,22.793792761236674,-0.7572203304325892,0.3390087022323118,0.23639960435212662,21.67443650213019
acerinox,22.59033668489634,0.034771202347573214,0.3683619558720168,2.159177160393518,21.59019394599461
veolia_2024_urd,25.013163476478205,0.015049548376485424,0.27364684274729645,0.9067166612324747,23.666176779624173
bam,22.081932030948828,0.021125674633770238,0.08306347982523773,0.9778087035017113,20.844155606318317
abn,26.67663124170537,0.0062407965780800784,0.21176116162442507,,23.21420591800459
barco,20.9293503060006,0.05123216126856095,0.08455906586364402,2.5956880889829956,20.55489668064805
banca generali s.p.a,23.545952498796805,0.025634608519743658,0.02670885748620035,,22.322452570605513
aalberts annual report,22.165467830004598,0.042340425531914895,0.16231678486997636,1.3779785544082606,22.013089601271478
altri,21.002711036559546,0.08106802321005004,0.4411817973945493,1.5490937697772449,20.790814712511906
ariston,21.994850559682366,0.0007009673349221927,0.2527407822795458,1.3431186868686869,19.90731131952976
wordline_urd_2024,23.689800992843104,-0.01528996885376715,0.20748539215938633,1.0540592056067914,21.571967027993423
aktia,23.20016190418582,0.006375534399164938,0.3490609283720941,,20.277449884732135
asml,24.606675353183807,0.1558275845036798,0.09647331939345045,1.532930368951794,26.401685463958888
airbus,25.58472804242819,0.03275212246445791,0.0872590219250385,1.1453078864457384,25.549724187273483
amundi,24.368778081058792,0.03407416790827768,0.06153694646923842,0.2580196494182801,23.22938781739147
aena,23.555028953460237,0.11394300587604483,0.23832154644813508,1.254593993425484,24.082651456272156
valeo_2024-universal-registration-document,23.7986407381526,0.007479915042940253,0.3249145812171022,0.8077728224265041,21.504348774798054
adidas,23.75122325779514,0.03698862260953764,0.27049140643911884,1.2409048264359428,24.47892700336231
aixtron group,20.741485840004238,0.10436405806437042,0.004931327677984891,4.121521318721798,21.242599432025052
millennium,25.349645522866208,0.008873566060456728,0.060537771127358524,,22.67779836364204
barclay,28.048547855877704,0.0041542561530020375,0.12234603827422175,,28.984744554437263
atenor,20.859348846426055,-0.0343827812916475,0.6320016896830709,1.978208097324144,19.165879002960256
wolters_kluwer_2024_annual_report,22.97434708707334,0.11360286376079175,0.42830069488313327,0.7021670190274841,24.32127463737314
acciona,24.267697386694476,0.0121894858463316,0.3626805314846909,0.9997191405701447,22.53912875224361
umg_2024_annual_report,,,,,24.504408996239707
m6,21.44543769654697,0.08392831123415416,0.050512409539074266,2.1009174311926606,21.000364370430827
akzo,23.379952565760064,0.038037757035581446,0.37672819145203174,1.2338266384778012,22.981194378255594
ageas,25.312865427943546,0.01135544157229191,0.04823523437103245,,22.891551563158785
asr,25.65482184801542,0.0063638659403297375,0.07714564017460947,,22.944146298366032
atea,23.772965326770343,0.03671419773556303,0.10417357525226206,0.936012619161923,23.458688645909483
acea,23.22683639403958,0.027124006324190847,0.4526965737968129,0.7408351092994723,22.089742815012375
upm-annual-report-2024,23.67274472598294,0.022832006702974444,0.19972769166317553,2.1031746031746033,23.34446322355166
amadeus fire,19.61495466580934,0.09885313041476329,0.21557876625186298,0.5945379639845735,19.811116866813094
vpbli_gb2024_en,23.087472419425055,0.0017367149206574863,0.019225813087878376,,19.858934862816426
aker,25.409112375966256,0.06639176398959429,0.35161712883526136,2.2137814457591727,24.44476407204094
baco sabadell,26.20222805123041,0.007624460790931634,0.1364747867789357,,22.994341024769554
alfen,19.70922444972857,-0.07447002067539628,0.13714403859407306,1.67535677642011,19.495816311867227
aeroports,23.727908296630158,0.01694831260221022,0.5026017146538481,0.9462768615692154,23.09623554896803
amadeus it group,23.190033974031156,0.10632791086445526,0.2864574051916533,0.8543807641633728,24.108635849424097
asm,22.364574440253698,0.13284475543983634,0.0022611741367553157,2.012380939684994,24.099750697255626
abinbev,26.054229467626286,0.028334712563577676,0.3492598131022034,0.6955482973447046,25.107771027447278
amplifon,22.10774905894355,0.03640938277813704,0.4311596834471977,0.6196898594216224,22.458659747598617
air liquide,24.67195822673157,0.0637412637971755,0.23999807201041115,0.880146771965711,25.2186750500359
aroundtown,24.23838399050247,0.007623461104881335,0.43734514379876205,1.8992979004850252,21.82367820508341
bank pekao,26.535131118461035,0.01907599882719706,0.07490979589638645,,24.22792339841693
cez group,27.52785153175989,0.03318610070800267,0.27290032750389703,1.2772578506032344,26.99582478198808
austrian post,22.59382108290649,0.021241855234985136,0.11480460265869777,0.7435128708777008,21.327785512924702
wacker,22.965028163494672,0.025611324243615768,0.2045930349950584,2.663054898870502,21.995097480729246
axa,27.206009207797617,0.012062493690364384,0.09504988053756566,,24.988058379209413
wartsila,22.763706641276514,0.06537561736417988,0.0995580972186119,1.2399902936180538,23.03536162947238
vinci-2024-universal-registration-document,25.5868772176014,0.03755473353360465,0.2800271833563723,0.8527792415459815,24.718817057605442
vestas annual report 2024,23.927799300098734,0.02024833630904074,0.13273007628631717,1.0393410852713179,25.374285400610308
air france,24.311081088573328,0.008767805282810123,0.4017978149633522,0.6505439124823306,21.423940692316958
accor_urd,23.212911241081585,0.05059301650493489,0.31011030936385503,1.054293825408091,23.108981897125783
