company,ln_assets,roa,leverage,current_ratio,ln_mcap
banco commercial,25.349645522866208,0.008873566060456728,0.060537771127358524,,22.67779836364204
orsted annual report 2024,26.422993435024388,-0.000689456667983105,0.3233685647921924,1.4816006846256884,25.689965135394946
atria,20.70794304020832,0.040266289193475996,0.2860405323346812,1.0575651529163492,19.114029115247746
alk,22.83299407123112,0.09883579917535774,0.14394858113024497,1.6900974858902,24.162956744348236
akso,24.31240782527254,0.07336408584923901,0.09239565781841284,0.8456964892412231,23.39855518556632
allegro,23.694566627562715,0.053007407636643834,0.32596234795085033,2.0121837511166683,24.096806798991576
axfood,24.29088120356731,0.06186498080830887,0.431700158049221,0.6687680388880449,24.634733486766798
santander,28.23919901482036,0.0068445539418240135,0.17839333159506848,,24.920507529796826
addiko bank,22.58095348628857,0.007083898953018458,0.002371701852111907,,19.714108938500033
alm brand,24.29096586920863,0.021927472837589952,0.06355298433751941,,23.686303235693263
amag,21.283218710919094,0.02467682324244969,,2.371983354469382,20.515535588681416
vonovia-se_annual-report-2024,25.225697622082514,-0.009929485140680636,0.4788017682462601,1.059559532740328,23.891091140885965
argenx,22.548221820480812,0.13430665784014953,0.006296309791404206,7.289127293571134,24.34016395863916
assa abloy,26.133146939336914,0.06994029650499765,0.3287091075780953,1.104579048524837,26.554333199528653
amg,21.436014153916375,-0.01635182382332911,0.39940546845467395,1.6908797792607404,19.956854284680215
aib group,25.673910474894193,0.016663599167527927,0.08173941358854926,,23.102644196850235
2024-wienerberger-annual-report,22.5824396880575,0.012426087866943204,,1.4083743137766769,21.762717048974434
aegon,26.514417957739518,0.0021014691957604082,0.015257032896545404,,22.953326050732176
bank of ireland,25.809707184449532,0.009461538936921013,0.07707044551426646,,22.84333377490044
annual report 2024_zalando se_en_250503_s,22.800692850827033,0.03145079472438282,0.21612244642342715,1.366306608856921,22.845694110909907
arcadis,22.085267505497256,0.0622438524590164,0.2858606557377049,1.2224346717654557,22.369222497559914
allianz group,27.67463409203374,0.009507188548868539,0.02213046799760286,,25.428394893270053
